run,model,dataset,cap,n,median,mean,min,max
Nov12_20-35-32_c42e8ad320d8,gatqsat,uuf100-430,1000,100,1.6478,1.6695,0.5948,3.3527
Nov13_03-55-51_c42e8ad320d8,gatqsat,uuf100-430,1000,100,0.4030,0.4205,0.1743,0.7631
Nov14_03-26-36_54337a27a809,gatqsat,uuf100-430,1000,100,1.3616,1.4322,0.6146,2.9392
Nov12_14-06-54_c42e8ad320d8,gatqsat,uuf250-1065,10,100,1.6276,1.6888,1.0045,2.6995
Nov12_20-35-32_c42e8ad320d8,gatqsat,uuf250-1065,10,100,1.1649,1.1937,0.6221,1.9652
Nov13_03-55-51_c42e8ad320d8,gatqsat,uuf250-1065,10,100,1.2121,1.2265,0.6689,2.2593
Nov14_03-26-36_54337a27a809,gatqsat,uuf250-1065,10,100,1.4556,1.5079,0.8547,2.5340
Nov12_14-06-54_c42e8ad320d8,gatqsat,uuf250-1065,50,100,1.6512,1.6926,1.0007,2.8490
Nov12_20-35-32_c42e8ad320d8,gatqsat,uuf250-1065,50,100,1.1626,1.1703,0.5628,2.0647
Nov13_03-55-51_c42e8ad320d8,gatqsat,uuf250-1065,50,100,1.2224,1.2217,0.6241,2.0132
Nov14_03-26-36_54337a27a809,gatqsat,uuf250-1065,50,100,1.4753,1.5094,0.9387,2.2482
Nov12_14-06-54_c42e8ad320d8,gatqsat,uuf250-1065,100,100,1.6314,1.7111,1.0220,2.7302
Nov12_20-35-32_c42e8ad320d8,gatqsat,uuf250-1065,100,100,1.1694,1.1696,0.6233,2.0497
Nov13_03-55-51_c42e8ad320d8,gatqsat,uuf250-1065,100,100,1.2043,1.2076,0.6824,1.8667
Nov14_03-26-36_54337a27a809,gatqsat,uuf250-1065,100,100,1.4406,1.5024,0.8878,2.5789
Nov12_14-06-54_c42e8ad320d8,gatqsat,uuf250-1065,300,100,1.6786,1.7116,1.0057,3.2786
Nov12_20-35-32_c42e8ad320d8,gatqsat,uuf250-1065,300,100,1.1572,1.1900,0.5945,2.3653
